cnn_key,intersection_rows,intersection_measure_types,intersection_n_measure_types,intersection_units_total,intersection_first_install_dt,intersection_last_install_dt,intersection_complete_rows,intersection_has_complete,intersection_statuses,intersection_neighborhoods,has_known_install_date
23714000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Potrero Hill'],False
23715000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Potrero Hill'],False
23718000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Potrero Hill'],False
23725000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Potrero Hill'],False
23755000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Potrero Hill'],False
23777000,1,['Traffic Island'],1,2.0,,,1,True,['Complete'],['Potrero Hill'],False
23806000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South Beach'],False
23825000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
23871000,1,['Traffic Circle'],1,1.0,1986-02-01,1986-02-01,1,True,['Complete'],['Showplace Square'],True
23904000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
23910000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
23922000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
23924000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
23932000,1,['Speed Radar Sign'],1,0.0,,,1,True,['Complete'],['South of Market'],False
23933000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
23935000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['South of Market'],False
23949000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],[],False
23962000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Potrero Hill'],False
23964000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Mission'],False
24000000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Mission'],False
24001000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Mission'],False
24003000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Mission'],False
24066000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24071000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24093000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24112000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24114000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24127000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24135000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24233000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['South of Market'],True
24257000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24280000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24281000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24282000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24285000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24289000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24291000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24292000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['South of Market'],False
24366000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24368000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24370000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
24390000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['South of Market'],False
24392000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24401000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
24406000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24449000,1,['Raised Crosswalk'],1,1.0,2009-01-01,2009-01-01,1,True,['Complete'],['Civic Center'],True
24473000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Civic Center'],False
24483000,1,['Raised Crosswalk'],1,1.0,2020-02-01,2020-02-01,1,True,['Complete'],['South Beach'],True
24486000,1,['Raised Crosswalk'],1,1.0,2020-03-01,2020-03-01,1,True,['Complete'],['South Beach'],True
24489000,1,['Raised Crosswalk'],1,1.0,2020-05-01,2020-05-01,1,True,['Complete'],['South Beach'],True
24492000,1,['Raised Crosswalk'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],[],True
24494000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Rincon Hill'],False
24511000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
24535000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['South of Market'],False
24539000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['South of Market'],False
24543000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['South of Market'],False
24594000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['South of Market'],False
24605000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Financial District'],False
24611000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
24618000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Financial District'],False
24746000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
24768000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['North Beach'],True
24927000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Tenderloin'],False
24939000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
24946000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
24963000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
24967000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
24971000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
24973000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Nob Hill'],False
24975000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
24984000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
24989000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Nob Hill'],False
24999000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Nob Hill'],False
25010000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Nob Hill'],False
25019000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
25022000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
25029000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
25042000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
25045000,1,['Raised Crosswalk'],1,1.0,2020-11-01,2020-11-01,1,True,['Complete'],['Chinatown'],True
25050000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
25058000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Chinatown'],False
25075000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Nob Hill'],False
25079000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Nob Hill'],False
25107000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Nob Hill'],False
25115000,1,['Raised Crosswalk'],1,3.0,,,1,True,['Complete'],['Russian Hill'],False
25133000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Russian Hill'],False
25139000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['Tenderloin'],True
25164000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['Lower Nob Hill'],True
25188000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Cathedral Hill'],False
25194000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Cathedral Hill'],False
25195000,1,['Raised Crosswalk'],1,1.0,2020-04-01,2020-04-01,1,True,['Complete'],['Tenderloin'],True
25203000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
25209000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
25211000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Lower Nob Hill'],False
25236000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Nob Hill'],False
25238000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Nob Hill'],False
25247000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Nob Hill'],False
25285000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Russian Hill'],False
25292000,1,['Raised Crosswalk'],1,4.0,,,1,True,['Complete'],['Nob Hill'],False
25313000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Russian Hill'],False
25331000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['North Beach'],False
25336000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['North Beach'],False
25342000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Telegraph Hill'],False
25353000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['North Beach'],False
25357000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['North Beach'],False
25401000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['North Beach'],False
25517000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Russian Hill'],False
25545000,1,['Raised Crosswalk'],1,2.0,,,1,True,['Complete'],['Russian Hill'],False
25550000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Russian Hill'],False
25682000,1,['Raised Crosswalk'],1,1.0,2021-06-01,2021-06-01,1,True,['Complete'],['Mission Dolores'],True
25847000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
25849000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
25850000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mint Hill'],False
25853000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['South of Market'],False
25989000,1,['Raised Crosswalk'],1,1.0,2016-09-01,2016-09-01,1,True,['Complete'],['Duboce Triangle'],True
25991000,1,['Raised Crosswalk'],1,1.0,2017-01-01,2017-01-01,1,True,['Complete'],['Duboce Triangle'],True
25996000,1,['Raised Crosswalk'],1,1.0,2017-01-01,2017-01-01,1,True,['Complete'],['Duboce Triangle'],True
26003000,1,['Raised Crosswalk'],1,1.0,2017-01-01,2017-01-01,1,True,['Complete'],['Lower Haight'],True
26013000,1,['Median Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],[],True
26018000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],[],False
26021000,1,['Raised Crosswalk'],1,1.0,2021-06-01,2021-06-01,1,True,['Complete'],['Buena Vista'],True
26023000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Duboce Triangle'],False
26073000,1,['Raised Crosswalk'],1,1.0,2022-10-01,2022-10-01,1,True,['Complete'],['Western Addition'],True
26206000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Buena Vista'],True
26215000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],[],False
26313000,1,['Speed Hump'],1,0.0,2019-01-01,2019-01-01,1,True,['Complete'],[],True
26333000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Buena Vista'],True
26359000,1,['Raised Crosswalk'],1,1.0,2022-10-01,2022-10-01,1,True,['Complete'],['Western Addition'],True
26374000,1,['Traffic Circle'],1,1.0,2018-02-01,2018-02-01,1,True,['Complete'],['Western Addition'],True
26375000,1,['Speed Hump'],1,0.0,2019-01-01,2019-01-01,1,True,['Complete'],['Western Addition'],True
26394000,1,['Raised Crosswalk'],1,1.0,2022-03-01,2022-03-01,1,True,['Complete'],['Anza Vista'],True
26443000,1,['Raised Crosswalk'],1,1.0,2018-07-01,2018-07-01,1,True,['Complete'],['Golden Gate Park'],True
26445000,1,['Raised Crosswalk'],1,1.0,2021-02-01,2021-02-01,1,True,['Complete'],['Panhandle'],True
26497000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Cathedral Hill'],False
26506000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Cathedral Hill'],False
26542000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['Pacific Heights'],True
26585000,1,['Ped Refuge Island'],1,0.0,,,1,True,['Complete'],['Western Addition'],False
26603000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Japantown'],False
26796000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Marina'],False
26812000,1,['Raised Crosswalk'],1,,2025-08-01,2025-08-01,1,True,['Complete'],['Anza Vista'],True
26911000,1,['Traffic Island'],1,1.0,2018-04-01,2018-04-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26912000,1,['Traffic Circle'],1,1.0,2018-01-01,2018-01-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26914000,1,['Ped Refuge Island'],1,2.0,2018-03-01,2018-03-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26926000,1,['Ped Refuge Island'],1,2.0,2018-03-01,2018-03-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26927000,1,['Ped Refuge Island'],1,2.0,2018-03-01,2018-03-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26929000,1,['Ped Refuge Island'],1,2.0,2018-03-01,2018-03-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26931000,1,['Traffic Circle'],1,1.0,2018-01-01,2018-01-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26935000,1,['Painted Island'],1,2.0,2014-12-01,2014-12-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
26936000,1,['Painted Island'],1,2.0,2014-12-01,2014-12-01,1,True,['Complete'],['Laurel Heights / Jordan Park'],True
27008000,1,['Channelization'],1,1.0,,,1,True,['Complete'],['Cow Hollow'],False
27034000,1,['Speed Hump'],1,0.0,,,1,True,['Complete'],['Forest Knolls'],False
27056000,1,['Traffic Island'],1,1.0,2009-07-01,2009-07-01,1,True,['Complete'],[],True
27075000,1,['Traffic Island'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],['Inner Sunset'],True
27101000,1,['Traffic Island'],1,0.0,2009-01-01,2009-01-01,1,True,['Complete'],[],True
27105000,1,['Traffic Island'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],[],True
27142000,1,['Traffic Island'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],['Inner Sunset'],True
27144000,1,['Traffic Island'],1,1.0,2009-08-01,2009-08-01,1,True,['Complete'],['Inner Sunset'],True
27153000,1,['Median Extension'],1,1.0,,,1,True,['Complete'],['Inner Sunset'],False
27157000,1,['Median Extension'],1,1.0,,,1,True,['Complete'],['Inner Sunset'],False
27166000,1,['Traffic Island'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],[],True
27167000,1,['Traffic Island'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],[],True
27175000,1,['Median Extension'],1,1.0,,,1,True,['Complete'],['Inner Sunset'],False
27178000,1,['Traffic Island'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],[],True
27194000,1,['Median Extension'],1,1.0,,,1,True,['Complete'],['Golden Gate Park'],False
27223000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Laurel Heights / Jordan Park'],False
27259000,1,['Raised Crosswalk'],1,1.0,2018-07-01,2018-07-01,1,True,['Complete'],['Golden Gate Park'],True
27268000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Inner Richmond'],False
27269000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Inner Richmond'],True
27282000,1,['Ped Refuge Island'],1,2.0,2019-06-01,2019-06-01,1,True,['Complete'],['Inner Richmond'],True
27298000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Inner Richmond'],False
27300000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Inner Richmond'],True
27362000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['Golden Gate Park'],True
27367000,1,['Traffic Circle'],1,1.0,2020-01-01,2020-01-01,1,True,['Complete'],['Outer Sunset'],True
27373000,1,['Left Turn Traffic Calming'],1,1.0,2020-08-01,2020-08-01,1,True,['Complete'],['Golden Gate Park'],True
27381000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Outer Sunset'],False
27383000,1,['Traffic Island'],1,1.0,2013-07-01,2013-07-01,1,True,['Complete'],['Outer Sunset'],True
27393000,1,['Traffic Island'],1,1.0,2013-07-01,2013-07-01,1,True,['Complete'],['Outer Sunset'],True
27394000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Outer Sunset'],False
27395000,1,['Traffic Island'],1,0.0,2013-07-01,2013-07-01,1,True,['Complete'],['Outer Sunset'],True
27448000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Inner Richmond'],False
27451000,1,['Raised Crosswalk'],1,1.0,2018-07-01,2018-07-01,1,True,['Complete'],['Golden Gate Park'],True
27473000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Inner Richmond'],True
27476000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Inner Richmond'],True
27482000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Inner Richmond'],True
